the,19,3.46084
in,18,3.27869
Oxford,14,2.55009
a,13,2.36794
and,12,2.18579
of,12,2.18579
University,10,1.82149
to,9,1.63934
Press,8,1.45719
for,7,1.27505
Crusoe,6,1.0929
or,6,1.0929
any,5,0.910747
is,5,0.910747
on,5,0.910747
by,5,0.910747
be,5,0.910747
this,5,0.910747
are,4,0.728597
island,4,0.728597
He,4,0.728597
you,4,0.728597
Robinson,4,0.728597
alone,4,0.728597
no,3,0.546448
I,3,0.546448
2,3,0.546448
his,3,0.546448
at,3,0.546448
there,3,0.546448
Bookworms,3,0.546448
an,3,0.546448
with,3,0.546448
years,3,0.546448
from,2,0.364299
he,2,0.364299
1659,2,0.364299
South,2,0.364299
3,2,0.364299
New,2,0.364299
learn,2,0.364299
lives,2,0.364299
make,2,0.364299
man,2,0.364299
many,2,0.364299
must,2,0.364299
No,2,0.364299
OXFORD,2,0.364299
It,2,0.364299
Could,2,0.364299
other,2,0.364299
publication,2,0.364299
rights,2,0.364299
ship,2,0.364299
small,2,0.364299
All,2,0.364299
above,2,0.364299
but,2,0.364299
Brazil,2,0.364299
footprint,2,0.364299
was,2,0.364299
will,2,0.364299
day,2,0.364299
friends,2,0.364299
their,2,0.364299
Daniel,1,0.182149
Dar,1,0.182149
Database,1,0.182149
Defoe,1,0.182149
Delhi,1,0.182149
Department,1,0.182149
Diane,1,0.182149
ELT,1,0.182149
ENGLISH,1,0.182149
England,1,0.182149
English,1,0.182149
Enquiries,1,0.182149
First,1,0.182149
France,1,0.182149
Great,1,0.182149
Greece,1,0.182149
Guatemala,1,0.182149
Have,1,0.182149
Hong,1,0.182149
Hungary,1,0.182149
ISBN,1,0.182149
In,1,0.182149
Italy,1,0.182149
Japan,1,0.182149
Karachi,1,0.182149
Kong,1,0.182149
Korea,1,0.182149
Kuala,1,0.182149
Learners,1,0.182149
Library,1,0.182149
LibraryLevel,1,0.182149
Lumpur,1,0.182149
Madrid,1,0.182149
Maestro,1,0.182149
MasterCard,1,0.182149
Melbourne,1,0.182149
Mexico,1,0.182149
Mowat,1,0.182149
Nairobi,1,0.182149
One,1,0.182149
PayPal,1,0.182149
Poland,1,0.182149
Portugal,1,0.182149
QIWI,1,0.182149
ROBINSON,1,0.182149
Republic,1,0.182149
Retold,1,0.182149
Rights,1,0.182149
Salaam,1,0.182149
Shanghai,1,0.182149
Singapore,1,0.182149
Street,1,0.182149
Switzerland,1,0.182149
Taipei,1,0.182149
Thailand,1,0.182149
The,1,0.182149
This,1,0.182149
Toronto,1,0.182149
Town,1,0.182149
Turkey,1,0.182149
UK,1,0.182149
Ukraine,1,0.182149
Vietnam,1,0.182149
Visa,1,0.182149
WebMoney,1,0.182149
With,1,0.182149
York,1,0.182149
You,1,0.182149
acquirer,1,0.182149
address,1,0.182149
addresses,1,0.182149
agreed,1,0.182149
alive,1,0.182149
along,1,0.182149
angry,1,0.182149
animal,1,0.182149
another,1,0.182149
appropriate,1,0.182149
as,1,0.182149
been,1,0.182149
begins,1,0.182149
binding,1,0.182149
boat,1,0.182149
book,1,0.182149
bored,1,0.182149
bread,1,0.182149
break,1,0.182149
build,1,0.182149
carefully,1,0.182149
certain,1,0.182149
circulate,1,0.182149
clothes,1,0.182149
coast,1,0.182149
concerning,1,0.182149
condition,1,0.182149
content,1,0.182149
corn,1,0.182149
countries,1,0.182149
country,1,0.182149
cover,1,0.182149
crusoe,1,0.182149
daniel,1,0.182149
adventures,1,0.182149
decides,1,0.182149
defo,1,0.182149
department,1,0.182149
die,1,0.182149
disclaims,1,0.182149
domain,1,0.182149
edition,1,0.182149
education,1,0.182149
enemy,1,0.182149
es,1,0.182149
escape,1,0.182149
ever,1,0.182149
excellence,1,0.182149
exciting,1,0.182149
expressly,1,0.182149
fifteen,1,0.182149
fighting,1,0.182149
finds,1,0.182149
food,1,0.182149
0,1,0.182149
1,1,0.182149
form,1,0.182149
friend,1,0.182149
10,1,0.182149
19,1,0.182149
furthers,1,0.182149
graded,1,0.182149
grow,1,0.182149
has,1,0.182149
1993,1,0.182149
himself,1,0.182149
2008,1,0.182149
home,1,0.182149
house,1,0.182149
https,1,0.182149
impose,1,0.182149
23573531,1,0.182149
information,1,0.182149
236997940,1,0.182149
4,1,0.182149
it,1,0.182149
land,1,0.182149
law,1,0.182149
479070,1,0.182149
learns,1,0.182149
level,1,0.182149
lfrom,1,0.182149
life,1,0.182149
litres,1,0.182149
live,1,0.182149
5,1,0.182149
long,1,0.182149
look,1,0.182149
6,1,0.182149
maker,1,0.182149
6DP,1,0.182149
7,1,0.182149
marks,1,0.182149
may,1,0.182149
means,1,0.182149
more,1,0.182149
8,1,0.182149
next,1,0.182149
9,1,0.182149
not,1,0.182149
objective,1,0.182149
978,1,0.182149
off,1,0.182149
offices,1,0.182149
often,1,0.182149
A,1,0.182149
one,1,0.182149
only,1,0.182149
Africa,1,0.182149
organization,1,0.182149
After,1,0.182149
outside,1,0.182149
over,1,0.182149
own,1,0.182149
ox2,1,0.182149
part,1,0.182149
permission,1,0.182149
permitted,1,0.182149
person,1,0.182149
photocopying,1,0.182149
prior,1,0.182149
provided,1,0.182149
public,1,0.182149
America,1,0.182149
published,1,0.182149
publishing,1,0.182149
quiet,1,0.182149
reaches,1,0.182149
reader,1,0.182149
referred,1,0.182149
registered,1,0.182149
reproduced,1,0.182149
reproduction,1,0.182149
reprographics,1,0.182149
research,1,0.182149
reserved,1,0.182149
responsibility,1,0.182149
retrieval,1,0.182149
right,1,0.182149
Any,1,0.182149
robinson,1,0.182149
ru,1,0.182149
s,1,0.182149
sailing,1,0.182149
sailor,1,0.182149
same,1,0.182149
sand,1,0.182149
saw,1,0.182149
scholarship,1,0.182149
scope,1,0.182149
sea,1,0.182149
seas,1,0.182149
sent,1,0.182149
seven,1,0.182149
Argentina,1,0.182149
shipwrecked,1,0.182149
shore,1,0.182149
should,1,0.182149
simplified,1,0.182149
skins,1,0.182149
Auckland,1,0.182149
something,1,0.182149
soon,1,0.182149
stored,1,0.182149
storm,1,0.182149
strange,1,0.182149
suddenly,1,0.182149
system,1,0.182149
terms,1,0.182149
terrible,1,0.182149
that,1,0.182149
Austria,1,0.182149
But,1,0.182149
CRUSOE,1,0.182149
Cape,1,0.182149
time,1,0.182149
Chile,1,0.182149
trade,1,0.182149
transmitted,1,0.182149
travel,1,0.182149
twenty,1,0.182149
unauthorized,1,0.182149
under,1,0.182149
up,1,0.182149
walked,1,0.182149
City,1,0.182149
way,1,0.182149
websites,1,0.182149
went,1,0.182149
wild,1,0.182149
Clarendon,1,0.182149
Czech,1,0.182149
without,1,0.182149
world,1,0.182149
worldwide,1,0.182149
writing,1,0.182149
www,1,0.182149
DANIEL,1,0.182149
DEFOE,1,0.182149
your,1,0.182149
yourself,1,0.182149
